sample,fastq_1,fastq_2,strandedness,reference
caro_1M,/Users/iamtaylornotyou/RNole/fastq/car_R1_1M.fastq.gz,/Users/iamtaylornotyou/RNole/fastq/car_R2_1M.fastq.gz,unstranded,/storage/project/r-jstroud36-0/tcooper84/RNole/ref/AnoCar
sag_1M,/Users/iamtaylornotyou/RNole/fastq/sag_R1_1M.fastq.gz,/Users/iamtaylornotyou/RNole/fastq/sag_R2_1M.fastq.gz,unstranded,/storage/project/r-jstroud36-0/tcooper84/RNole/ref/AnoSag
